Reference, Value, Footprint, Datasheet, MF, MP, Specification, Quantity
"IC1","ATTINY1634-SU","CC_Footprint:SOIC-20W_7.5x12.8mm_Pitch1.27mm","", Atmel, ATTINY1634-SU, https://www.verical.com/pd/atmel-microcontroller-ATTINY1634-SU-729132
"P2","BH10S","CC_Footprint:IDC_Header_Straight_10pins",""
"P3","BH10R","CC_Footprint:BH10R",""
"P5","WF3R","CC_Footprint:WF3R",""
"P4","PN1x3","CC_Footprint:PN1x3",""
"P6","WF2R","CC_Footprint:WF2R","",HITPOINT, PT-3110PQ, https://store.comet.bg/download-file.php?id=1015
"P1","WF2R","CC_Footprint:WF2R",""
"U1","MCP1701AT-3302I/CB","CC_Footprint:SOT-23_Handsoldering","MCP1701AT Series 250 mA 3.3 V LDO Positive Voltage Regulator - SOT-23","Good","SOT-23 Microchip","Microchip","0.65 USD","MCP1701AT-3302I/CB"
"U2","MCP1802T-3302I/OT","CC_Footprint:SOT-23-5_HandSoldering","MCP1802T-3302I/OT"
"Q2","DTC144TKA","CC_Footprint:SOT-23_Handsoldering",""
"Q1","DTC144TKA","CC_Footprint:SOT-23_Handsoldering",""
"D2","L-934LSRD","CC_Footprint:LED_D3.0mm",""
"D1","1N5819","CC_Footprint:D_SMA_Handsoldering",""
"C8","220uF/10V","CC_Footprint:CP_Radial_D8.0mm_P2.50mm",""
"C9","470uF/10V","CC_Footprint:CP_Radial_D8.0mm_P2.50mm",""
"C4,C1,C3,C5","1uF","CC_Footprint:C_0805_HandSoldering",""
"C6,C7,C11,C10,C2","100n","CC_Footprint:C_0805_HandSoldering",""
"R1","1.8M","CC_Footprint:R_0805_HandSoldering",""
"R2","200K","CC_Footprint:R_0805_HandSoldering",""
"R11, R12","100k","CC_Footprint:R_0805_HandSoldering",""
"R9, R10","0","CC_Footprint:R_0805_HandSoldering",""
"R8","10k","CC_Footprint:R_0805_HandSoldering",""
"R14","330","CC_Footprint:R_0805_HandSoldering",""
"R5, R4, R3, R7, R6, R13","220","CC_Footprint:R_0805_HandSoldering",""
"SW2","TS-06E","CC_Footprint:SW_PUSH_6mm",""
"SW1","TS-06E","CC_Footprint:SW_PUSH_6mm",""
